x1,y1,x2,y2
100,100,100,500
104,100,104,496
108,100,108,492
112,100,112,488
116,100,116,484
120,100,120,480
124,100,124,476
128,100,128,472
132,100,132,468
136,100,136,464
140,100,140,460
144,100,144,456
148,100,148,452
152,100,152,448
156,100,156,444
160,100,160,440
164,100,164,436
168,100,168,432
172,100,172,428
176,100,176,424
180,100,180,420
184,100,184,416
188,100,188,412
192,100,192,408
196,100,196,404
200,100,200,400
204,100,204,396
208,100,208,392
212,100,212,388
216,100,216,384
220,100,220,380
224,100,224,376
228,100,228,372
232,100,232,368
236,100,236,364
240,100,240,360
244,100,244,356
248,100,248,352
252,100,252,348
256,100,256,344
260,100,260,340
264,100,264,336
268,100,268,332
272,100,272,328
276,100,276,324
280,100,280,320
284,100,284,316
288,100,288,312
292,100,292,308
296,100,296,304
300,100,300,300
304,100,304,296
308,100,308,292
312,100,312,288
316,100,316,284
320,100,320,280
324,100,324,276
328,100,328,272
332,100,332,268
336,100,336,264
340,100,340,260
344,100,344,256
348,100,348,252
352,100,352,248
356,100,356,244
360,100,360,240
364,100,364,236
368,100,368,232
372,100,372,228
376,100,376,224
380,100,380,220
384,100,384,216
388,100,388,212
392,100,392,208
396,100,396,204
400,100,400,200
404,100,404,196
408,100,408,192
412,100,412,188
416,100,416,184
420,100,420,180
424,100,424,176
428,100,428,172
432,100,432,168
436,100,436,164
440,100,440,160
444,100,444,156
448,100,448,152
452,100,452,148
456,100,456,144
460,100,460,140
464,100,464,136
468,100,468,132
472,100,472,128
476,100,476,124
480,100,480,120
484,100,484,116
488,100,488,112
492,100,492,108
496,100,496,104
500,100,500,100
